ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
1454,Joubert syndrome with hepatic defect,Disease,TMEM67,transmembrane protein 67,gene with protein product,"['JBTS6', 'MGC26979', 'Meckelin', 'NPHP11']","[{'GeneLocus': '8q22.1', 'LocusKey': 1}]",19574260[PMID]_17160906[PMID]_20615230[PMID]_20301500[PMID]
1454,Joubert syndrome with hepatic defect,Disease,RPGRIP1L,RPGRIP1 like,gene with protein product,"['CORS3', 'FTM', 'JBTS7', 'KIAA1005', 'MKS5', 'Meckel syndrome, type 5', 'NPHP8', 'PPP1R134', 'fantom homolog', 'protein phosphatase 1, regulatory subunit 134']","[{'GeneLocus': '16q12.2', 'LocusKey': 1}]",19574260[PMID]_20301500[PMID]
1454,Joubert syndrome with hepatic defect,Disease,CC2D2A,coiled-coil and C2 domain containing 2A,gene with protein product,"['JBTS9', 'KIAA1345', 'MKS6', 'Meckel syndrome, type 6']","[{'GeneLocus': '4p15.32', 'LocusKey': 1}]",19574260[PMID]_20301500[PMID]
1454,Joubert syndrome with hepatic defect,Disease,INPP5E,inositol polyphosphate-5-phosphatase E,gene with protein product,"['CORS1', 'PPI5PIV', 'Phosphatidylinositol polyphosphate 5-phosphatase type IV', 'pharbin']","[{'GeneLocus': '9q34.3', 'LocusKey': 1}]",20301500[PMID]_19668216[PMID]
1458,CODAS syndrome,Malformation syndrome,LONP1,"lon peptidase 1, mitochondrial",gene with protein product,"['LonHS', 'Mitochondrial ATP-dependent protease Lon', 'PIM1', 'hLON']","[{'GeneLocus': '19p13.2', 'LocusKey': 1}]",25574826[PMID]
1460,Isolated complex III deficiency,Disease,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",gene with protein product,"['BCS', 'BJS', 'Bjornstad syndrome', 'GRACILE syndrome', 'Hs.6719', 'h-BCS']","[{'GeneLocus': '2q35', 'LocusKey': 1}]",17403714[PMID]_19162478[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,MT-CYB,mitochondrially encoded cytochrome b,gene with protein product,"['COB', 'CYTB', 'UQCR3']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20862300[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,gene with protein product,"['QCR8', 'QP-C', 'UQCR7', 'complex III subunit 8', 'ubiquinol-cytochrome c reductase, complex III subunit VII']","[{'GeneLocus': '5q31.1', 'LocusKey': 1}]",18439546[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCRB,ubiquinol-cytochrome c reductase binding protein,gene with protein product,"['QCR7', 'QP-C', 'UQCR6', 'cytochrome b-c1 complex subunit 7', 'ubiquinol-cytochrome c reductase, complex III subunit VI']","[{'GeneLocus': '8q22.1', 'LocusKey': 1}]",12709789[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,TTC19,tetratricopeptide repeat domain 19,gene with protein product,"['FLJ20343', 'MGC19520', 'Tetratricopeptide repeat protein 19, mitochondrial']","[{'GeneLocus': '17p12', 'LocusKey': 1}]",21278747[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,gene with protein product,"['QCR2', 'UQCR2']","[{'GeneLocus': '16p12.2', 'LocusKey': 1}]",23281071[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,CYC1,cytochrome c1,gene with protein product,['UQCR4'],"[{'GeneLocus': '8q24.3', 'LocusKey': 1}]",23910460[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,LYRM7,LYR motif containing 7,gene with protein product,"['FLJ20796', 'MZM1L']","[{'GeneLocus': '5q23.3-q31.1', 'LocusKey': 1}]",24014394[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCC2,ubiquinol-cytochrome c reductase complex assembly factor 2,gene with protein product,"['Cbp6', 'M19', 'MGC14833', 'bA6B20.2', 'cytochrome B protein synthesis 6 homolog (S. cerevisiae)']","[{'GeneLocus': '6p21.31', 'LocusKey': 1}]",24385928[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3,gene with protein product,['UNQ655'],"[{'GeneLocus': '11q12.3', 'LocusKey': 1}]",25008109[PMID]_25914718[PMID]
1460,Isolated complex III deficiency,Disease,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",gene with protein product,"['RIP1', 'RIS1', 'RISP', 'UQCR5', 'cytochrome b-c1 complex subunit 5']","[{'GeneLocus': '19q12', 'LocusKey': 1}]",32001716[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,ARID2,AT-rich interaction domain 2,gene with protein product,"['BAF200', 'DKFZp686G052', 'FLJ30619', 'KIAA1557', 'SMARCF3', 'ZIPZAP', 'p200']","[{'GeneLocus': '12q12', 'LocusKey': 1}]",28124119[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",gene with protein product,"['BAF47', 'INI-1', 'Ini1', 'PPP1R144', 'RDT', 'SNF5', 'Sfh1p', 'Snr1', 'hSNFS', 'integrase interactor 1', 'malignant rhabdoid tumor suppressor', 'protein phosphatase 1, regulatory subunit 144', 'sucrose nonfermenting, yeast, homolog-like 1']","[{'GeneLocus': '22q11.23', 'LocusKey': 1}]",23556151[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",gene with protein product,"['ATP-dependent helicase SMARCA4', 'BAF190', 'BRG1', 'BRM/SWI2-related gene 1', 'FLJ39786', 'SNF2', 'SNF2-BETA', 'SNF2-like 4', 'SNF2LB', 'SWI2', 'brahma protein-like 1', 'global transcription activator homologous sequence', 'hSNF2b', 'homeotic gene regulator', 'mitotic growth and transcription activator', 'nuclear protein GRB1', 'sucrose nonfermenting-like 4']","[{'GeneLocus': '19p13.2', 'LocusKey': 1}]",23556151[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,ARID1B,AT-rich interaction domain 1B,gene with protein product,"['6A3-5', 'BAF250b', 'DAN15', 'ELD/OSA1', 'KIAA1235', 'SMARCF2', 'p250R']","[{'GeneLocus': '6q25.3', 'LocusKey': 1}]",23556151[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,ARID1A,AT-rich interaction domain 1A,gene with protein product,"['B120', 'BAF250', 'BAF250a', 'C10rf4', 'P270']","[{'GeneLocus': '1p36.11', 'LocusKey': 1}]",23556151[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",gene with protein product,['BAF57'],"[{'GeneLocus': '17q21.2', 'LocusKey': 1}]",23556151[PMID]_23906836[PMID]_23929686[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SOX11,SRY-box transcription factor 11,gene with protein product,['SRY-related HMG-box gene 11'],"[{'GeneLocus': '2p25.2', 'LocusKey': 1}]",24886874[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SOX4,SRY-box transcription factor 4,gene with protein product,,"[{'GeneLocus': '6p22.3', 'LocusKey': 1}]",30661722[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,DPF2,double PHD fingers 2,gene with protein product,"['BAF45d', 'SMARCG2', 'ubi-d4']","[{'GeneLocus': '11q13.1', 'LocusKey': 1}]",29429572[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",gene with protein product,"['BAF60A', 'CRACD1', 'Rsc6p']","[{'GeneLocus': '12q13.12', 'LocusKey': 1}]",30879640[PMID]
1465,Coffin-Siris syndrome,Malformation syndrome,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",gene with protein product,"['BAF170', 'CRACC2', 'Rsc8']","[{'GeneLocus': '12q13.2', 'LocusKey': 1}]",30580808[PMID]
1466,COFS syndrome,Clinical subtype,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",gene with protein product,"['EM9', 'MAG', 'MGC102762', 'MGC126218', 'MGC126219', 'TFIIH', 'TFIIH basal transcription factor complex helicase XPB subunit', 'excision repair cross-complementing rodent repair deficiency, complementation group 2 protein']","[{'GeneLocus': '19q13.32', 'LocusKey': 1}]",11443545[PMID]
1466,COFS syndrome,Clinical subtype,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",gene with protein product,"['ARMD5', 'CSB', 'Cockayne syndrome B protein', 'RAD26']","[{'GeneLocus': '10q11.23', 'LocusKey': 1}]",20301516[PMID]
1466,COFS syndrome,Clinical subtype,ERCC5,"ERCC excision repair 5, endonuclease",gene with protein product,['Cockayne syndrome'],"[{'GeneLocus': '13q33.1', 'LocusKey': 1}]",24700531[PMID]
1466,COFS syndrome,Clinical subtype,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product,['RAD10'],"[{'GeneLocus': '19q13.32', 'LocusKey': 1}]",17273966[PMID]
1473,Uveal coloboma-cleft lip and palate-intellectual disability,Malformation syndrome,YAP1,Yes1 associated transcriptional regulator,gene with protein product,"['YAP-1', 'YAP65']","[{'GeneLocus': '11q22.1', 'LocusKey': 1}]",24462371[PMID]
1475,Renal coloboma syndrome,Malformation syndrome,PAX2,paired box 2,gene with protein product,['PAX-2'],"[{'GeneLocus': '10q24.31', 'LocusKey': 1}]",22213154[PMID]_20301624[PMID]
1479,Atrial septal defect-atrioventricular conduction defects syndrome,Malformation syndrome,NKX2-5,NK2 homeobox 5,gene with protein product,"['CSX1', 'NKX2.5', 'NKX4-1', 'tinman (Drosophila) homolog', 'tinman paralog (Drosophila)']","[{'GeneLocus': '5q35.1', 'LocusKey': 1}]",19049681[PMID]_18375255[PMID]
1486,Lethal congenital contracture syndrome type 1,Malformation syndrome,GLE1,GLE1 RNA export mediator,gene with protein product,['hGLE1'],"[{'GeneLocus': '9q34.11', 'LocusKey': 1}]",18204449[PMID]
1490,Corneal dystrophy-perceptive deafness syndrome,Malformation syndrome,SLC4A11,solute carrier family 4 member 11,gene with protein product,"['BTR1', 'FECD4', 'NaBC1', 'bicarbonate transporter related protein 1', 'dJ794I6.2', 'sodium-coupled borate cotransporter 1']","[{'GeneLocus': '20p13', 'LocusKey': 1}]",17220209[PMID]_18922146[PMID]
1493,Vici syndrome,Malformation syndrome,EPG5,ectopic P-granules 5 autophagy tethering factor,gene with protein product,['hEPG5'],"[{'GeneLocus': '18q12.3-q21.1', 'LocusKey': 1}]",23222957[PMID]
1496,Corpus callosum agenesis-neuronopathy syndrome,Disease,SLC12A6,solute carrier family 12 member 6,gene with protein product,"['K-Cl cotransporter 3', 'KCC3A', 'KCC3B']","[{'GeneLocus': '15q14', 'LocusKey': 1}]",20301546[PMID]
1497,X-linked complicated corpus callosum dysgenesis,Clinical subtype,L1CAM,L1 cell adhesion molecule,gene with protein product,"['CAML1', 'CD171', 'NCAM-L1', 'neural cell adhesion molecule L1']","[{'GeneLocus': 'Xq28', 'LocusKey': 1}]",20301657[PMID]
1501,Adrenocortical carcinoma,Disease,TP53,tumor protein p53,gene with protein product,"['LFS1', 'Li-Fraumeni syndrome', 'P53', 'p53']","[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",11600572[PMID]
1501,Adrenocortical carcinoma,Disease,TP53,tumor protein p53,gene with protein product,"['LFS1', 'Li-Fraumeni syndrome', 'P53', 'p53']","[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",25490274[PMID]
1501,Adrenocortical carcinoma,Disease,ZNRF3,zinc and ring finger 3,gene with protein product,"['BK747E2.3', 'FLJ22057', 'KIAA1133', 'RNF203']","[{'GeneLocus': '22q12.1', 'LocusKey': 1}]",24747642[PMID]
1501,Adrenocortical carcinoma,Disease,CTNNB1,catenin beta 1,gene with protein product,"['armadillo', 'beta-catenin']","[{'GeneLocus': '3p22.1', 'LocusKey': 1}]",24747642[PMID]
1501,Adrenocortical carcinoma,Disease,CDKN2A,cyclin dependent kinase inhibitor 2A,gene with protein product,"['ARF', 'CAI2', 'CDK4I', 'CDKN2A/ARF Intron 2 lncRNA', 'CMM2', 'INK4', 'INK4a', 'MTS1', 'P16-INK4A', 'cyclin-dependent kinase 4 inhibitor A', 'inhibitor of cdk4 A', 'multiple tumour suppressor 1', 'p14', 'p14 alternate open reading frame', 'p14ARF', 'p16', 'p16INK4a', 'p19', 'p19 alternate open reading frame', 'p19Arf']","[{'GeneLocus': '9p21.3', 'LocusKey': 1}]",25490274[PMID]
1501,Adrenocortical carcinoma,Disease,TERT,telomerase reverse transcriptase,gene with protein product,"['EST2', 'TCS1', 'TP2', 'TRT', 'hEST2']","[{'GeneLocus': '5p15.33', 'LocusKey': 1}]",25490274[PMID]
1501,Adrenocortical carcinoma,Disease,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,gene with protein product,"['CNC1', 'Carney complex type 1']","[{'GeneLocus': '17q24.2', 'LocusKey': 1}]",31147626[PMID]
1507,Autosomal recessive Robinow syndrome,Clinical subtype,ROR2,receptor tyrosine kinase like orphan receptor 2,gene with protein product,,"[{'GeneLocus': '9q22.31', 'LocusKey': 1}]",20301418[PMID]
1507,Autosomal recessive Robinow syndrome,Clinical subtype,NXN,nucleoredoxin,gene with protein product,"['FLJ12614', 'NRX']","[{'GeneLocus': '17p13.3', 'LocusKey': 1}]",29276006[PMID]
1509,Coxopodopatellar syndrome,Disease,TBX4,T-box transcription factor 4,gene with protein product,,"[{'GeneLocus': '17q23.2', 'LocusKey': 1}]",15106123[PMID]
1513,Craniodiaphyseal dysplasia,Malformation syndrome,SOST,sclerostin,gene with protein product,"['DAND6', 'VBCH']","[{'GeneLocus': '17q21.31', 'LocusKey': 1}]",21221996[PMID]
1513,Craniodiaphyseal dysplasia,Malformation syndrome,SP7,Sp7 transcription factor,gene with protein product,"['OSX', 'osterix']","[{'GeneLocus': '12q13.13', 'LocusKey': 1}]",36436818[PMID]
1515,Cranioectodermal dysplasia,Malformation syndrome,IFT122,intraflagellar transport 122,gene with protein product,"['CFAP80', 'FAP80', 'SPG', 'WDR10p', 'WDR140']","[{'GeneLocus': '3q21.3-q22.1', 'LocusKey': 1}]",22791528[PMID]_24027799[PMID]_21438135[PMID]
1515,Cranioectodermal dysplasia,Malformation syndrome,WDR35,WD repeat domain 35,gene with protein product,"['CFAP118', 'FAP118', 'IFT121', 'IFTA1', 'KIAA1336', 'MGC33196']","[{'GeneLocus': '2p24.1', 'LocusKey': 1}]",22791528[PMID]_24027799[PMID]_21438135[PMID]
1515,Cranioectodermal dysplasia,Malformation syndrome,IFT43,intraflagellar transport 43,gene with protein product,"['FLJ32173', 'MGC16028']","[{'GeneLocus': '14q24.3', 'LocusKey': 1}]",22791528[PMID]_24027799[PMID]
1515,Cranioectodermal dysplasia,Malformation syndrome,WDR19,WD repeat domain 19,gene with protein product,"['CFAP66', 'DYF-2', 'FAP66', 'FLJ23127', 'IFT144', 'KIAA1638', 'NPHP13', 'ORF26', 'Oseg6', 'Pwdmp', 'intraflagellar transport 144 homolog (Chlamydomonas)']","[{'GeneLocus': '4p14', 'LocusKey': 1}]",22791528[PMID]_24027799[PMID]
1515,Cranioectodermal dysplasia,Malformation syndrome,IFT52,intraflagellar transport 52,gene with protein product,"['CGI-53', 'NGD2', 'NGD5', 'dJ1028D15.1']","[{'GeneLocus': '20q13.12', 'LocusKey': 1}]",26880018[PMID]_27466190[PMID]
1517,Cantú syndrome,Malformation syndrome,ABCC9,ATP binding cassette subfamily C member 9,gene with protein product,"['CMD1O', 'SUR2', 'sulfonylurea receptor 2']","[{'GeneLocus': '12p12.1', 'LocusKey': 1}]",22608503[PMID]_22610116[PMID]
1517,Cantú syndrome,Malformation syndrome,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,gene with protein product,['Kir6.1'],"[{'GeneLocus': '12p12.1', 'LocusKey': 1}]",24700710[PMID]_24176758[PMID]
1519,SPECC1L-related hypertelorism syndrome,Malformation syndrome,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,gene with protein product,"['CYTSA', 'KIAA0376', 'cytokinesis and spindle organization A']","[{'GeneLocus': '22q11.23', 'LocusKey': 1}]",26111080[PMID]
1520,Craniofrontonasal dysplasia,Malformation syndrome,EFNB1,ephrin B1,gene with protein product,"['EPH-related receptor tyrosine kinase ligand 2', 'Elk-L', 'LERK2']","[{'GeneLocus': 'Xq13.1', 'LocusKey': 1}]",15124102[PMID]_15166289[PMID]_15959873[PMID]
1522,Craniometaphyseal dysplasia,Malformation syndrome,ANKH,ANKH inorganic pyrophosphate transport regulator,gene with protein product,"['ANK', 'CPPDD', 'HANK', 'Mineralization regulator ANKH', 'SLC62A1', 'solute carrier family 62, member 1']","[{'GeneLocus': '5p15.2', 'LocusKey': 1}]",21438135[PMID]_11326338[PMID]_11326272[PMID]
1522,Craniometaphyseal dysplasia,Malformation syndrome,GJA1,gap junction protein alpha 1,gene with protein product,"['CX43', 'ODD', 'ODOD', 'SDTY3', 'connexin 43', 'oculodentodigital dysplasia (syndactyly type III)']","[{'GeneLocus': '6q22.31', 'LocusKey': 1}]",23951358[PMID]
1525,Cranio-osteoarthropathy,Malformation syndrome,HPGD,15-hydroxyprostaglandin dehydrogenase,gene with protein product,"['15-hydroxyprostaglandin dehydrogenase (NAD(+))', 'SDR36C1', 'short chain dehydrogenase/reductase family 36C, member 1']","[{'GeneLocus': '4q34.1', 'LocusKey': 1}]",18500342[PMID]_21438135[PMID]
1529,Craniofacial-deafness-hand syndrome,Malformation syndrome,PAX3,paired box 3,gene with protein product,"['HUP2', 'PAX-3']","[{'GeneLocus': '2q36.1', 'LocusKey': 1}]",8664898[PMID]
1540,Jackson-Weiss syndrome,Malformation syndrome,FGFR2,fibroblast growth factor receptor 2,gene with protein product,"['CD332', 'CEK3', 'Crouzon syndrome', 'ECT1', 'K-SAM', 'Pfeiffer syndrome', 'TK14', 'TK25']","[{'GeneLocus': '10q26.13', 'LocusKey': 1}]",20301628[PMID]_21438135[PMID]
1541,"Craniosynostosis, Boston type",Malformation syndrome,MSX2,msh homeobox 2,gene with protein product,"['CRS2', 'FPP', 'HOX8', 'MSH', 'PFM', 'craniosynostosis, type 2']","[{'GeneLocus': '5q35.2', 'LocusKey': 1}]",23918290[PMID]_23949913[PMID]
1545,Crisponi syndrome,Malformation syndrome,CRLF1,cytokine receptor like factor 1,gene with protein product,"['CISS', 'CISS1', 'CLF', 'CLF-1', 'cold-induced sweating syndrome']","[{'GeneLocus': '19p12', 'LocusKey': 1}]",17436252[PMID]_21370513[PMID]
1545,Crisponi syndrome,Malformation syndrome,CLCF1,cardiotrophin like cytokine factor 1,gene with protein product,"['B-cell stimulating factor 3', 'BSF-3', 'BSF3', 'CISS2', 'CLC', 'NNT-1', 'NNT1', 'NR6', 'cold-induced sweating syndrome 2', 'novel neurotrophin-1']","[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",20400119[PMID]_21370513[PMID]
1552,Currarino syndrome,Malformation syndrome,MNX1,motor neuron and pancreas homeobox 1,gene with protein product,"['HB9', 'HOXHB9', 'SCRA1']","[{'GeneLocus': '7q36.3', 'LocusKey': 1}]",22820079[PMID]_23370340[PMID]
1553,Curry-Jones syndrome,Malformation syndrome,SMO,"smoothened, frizzled class receptor",gene with protein product,"['FZD11', 'frizzled family member 11']","[{'GeneLocus': '7q32.1', 'LocusKey': 1}]",27236920[PMID]
1555,Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,Malformation syndrome,FGFR2,fibroblast growth factor receptor 2,gene with protein product,"['CD332', 'CEK3', 'Crouzon syndrome', 'ECT1', 'K-SAM', 'Pfeiffer syndrome', 'TK14', 'TK25']","[{'GeneLocus': '10q26.13', 'LocusKey': 1}]",20301628[PMID]_21438135[PMID]
1556,Cutis marmorata telangiectatica congenita,Malformation syndrome,GNA11,G protein subunit alpha 11,gene with protein product,"['FBH', 'FBH2', 'FHH2']","[{'GeneLocus': '19p13.3', 'LocusKey': 1}]",35351629[PMID]
1556,Cutis marmorata telangiectatica congenita,Malformation syndrome,ARL6IP6,ADP ribosylation factor like GTPase 6 interacting protein 6,gene with protein product,['MGC33864'],"[{'GeneLocus': '2q23.3', 'LocusKey': 1}]",25957586[PMID]
1561,Fatal infantile cytochrome C oxidase deficiency,Disease,SCO1,synthesis of cytochrome C oxidase 1,gene with protein product,,"[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",11013136[PMID]_19295170[PMID]_23878101[PMID]
1561,Fatal infantile cytochrome C oxidase deficiency,Disease,SCO2,synthesis of cytochrome C oxidase 2,gene with protein product,['SCO1L'],"[{'GeneLocus': '22q13.33', 'LocusKey': 1}]",10545952[PMID]
1561,Fatal infantile cytochrome C oxidase deficiency,Disease,COX15,cytochrome c oxidase assembly homolog COX15,gene with protein product,['CEMCOX2'],"[{'GeneLocus': '10q24.2', 'LocusKey': 1}]",2175025[PMID]_21412973[PMID]
1561,Fatal infantile cytochrome C oxidase deficiency,Disease,COA5,cytochrome c oxidase assembly factor 5,gene with protein product,"['FLJ27524', 'MGC52110', 'Pet191']","[{'GeneLocus': '2q11.2', 'LocusKey': 1}]",21457908[PMID]
1561,Fatal infantile cytochrome C oxidase deficiency,Disease,COA6,cytochrome c oxidase assembly factor 6,gene with protein product,,"[{'GeneLocus': '1q42.2', 'LocusKey': 1}]",24549041[PMID]_25339201[PMID]
1568,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,Malformation syndrome,AP1S2,adaptor related protein complex 1 subunit sigma 2,gene with protein product,['SIGMA1B'],"[{'GeneLocus': 'Xp22.2', 'LocusKey': 1}]",23756445[PMID]
1571,Knobloch syndrome,Malformation syndrome,PAK2,p21 (RAC1) activated kinase 2,gene with protein product,"['PAK65', 'PAKgamma', 'S6/H4 kinase']","[{'GeneLocus': '3q29', 'LocusKey': 1}]",33693784[PMID]
1571,Knobloch syndrome,Malformation syndrome,COL18A1,collagen type XVIII alpha 1 chain,gene with protein product,"['KNO1', 'KS', 'endostatin']","[{'GeneLocus': '21q22.3', 'LocusKey': 1}]",21862674[PMID]_15714516[PMID]
1572,Common variable immunodeficiency,Disease,CD19,CD19 molecule,gene with protein product,,"[{'GeneLocus': '16p11.2', 'LocusKey': 1}]",
1572,Common variable immunodeficiency,Disease,ICOS,inducible T cell costimulator,gene with protein product,"['AILIM', 'CD278', 'activation-inducible lymphocyte immunomediatory molecule']","[{'GeneLocus': '2q33.2', 'LocusKey': 1}]",
1572,Common variable immunodeficiency,Disease,CR2,complement C3d receptor 2,gene with protein product,"['C3DR', 'CD21', 'Epstein-Barr virus receptor']","[{'GeneLocus': '1q32.2', 'LocusKey': 1}]",22035880[PMID]
1572,Common variable immunodeficiency,Disease,TNFRSF13C,TNF receptor superfamily member 13C,gene with protein product,"['BAFFR', 'CD268']","[{'GeneLocus': '22q13.2', 'LocusKey': 1}]",
1572,Common variable immunodeficiency,Disease,MS4A1,membrane spanning 4-domains A1,gene with protein product,"['B1', 'Bp35', 'FMC7', 'MS4A2']","[{'GeneLocus': '11q12.2', 'LocusKey': 1}]",20038800[PMID]_21970952[PMID]
1572,Common variable immunodeficiency,Disease,CD81,CD81 molecule,gene with protein product,"['S5.7', 'TAPA-1', 'TSPAN28', 'Tetraspanin-28']","[{'GeneLocus': '11p15.5', 'LocusKey': 1}]",21970952[PMID]
1572,Common variable immunodeficiency,Disease,TNFSF12,TNF superfamily member 12,gene with protein product,"['APO3L', 'DR3LG', 'TWEAK']","[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",23493554[PMID]
1572,Common variable immunodeficiency,Disease,TNFSF12,TNF superfamily member 12,gene with protein product,"['APO3L', 'DR3LG', 'TWEAK']","[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",23493554[PMID]
1572,Common variable immunodeficiency,Disease,NFKB1,nuclear factor kappa B subunit 1,gene with protein product,"['KBF1', 'NF-kB1', 'NF-kappaB', 'NFKB-p50', 'NFkappaB', 'Nuclear factor NF-kappa-B p105 subunit', 'p105', 'p50']","[{'GeneLocus': '4q24', 'LocusKey': 1}]",26279205[PMID]
1572,Common variable immunodeficiency,Disease,NFKB2,nuclear factor kappa B subunit 2,gene with protein product,"['LYT-10', 'NF-kB2', 'p105', 'p49/p100', 'p52']","[{'GeneLocus': '10q24.32', 'LocusKey': 1}]",24888602[PMID]_25237204[PMID]
1572,Common variable immunodeficiency,Disease,IRF2BP2,interferon regulatory factor 2 binding protein 2,gene with protein product,['IRF-2BP2'],"[{'GeneLocus': '1q42.3', 'LocusKey': 1}]",27016798[PMID]
1572,Common variable immunodeficiency,Disease,TNFRSF13B,TNF receptor superfamily member 13B,gene with protein product,"['CD267', 'IGAD2', 'TACI']","[{'GeneLocus': '17p11.2', 'LocusKey': 1}]",16007086[PMID]
1573,Hypotrichosis with juvenile macular degeneration,Malformation syndrome,CDH3,cadherin 3,gene with protein product,"['CDHP', 'P-cadherin', 'PCAD']","[{'GeneLocus': '16q22.1', 'LocusKey': 1}]",11544476[PMID]_12445216[PMID]_22140374[PMID]
1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,Clinical subtype,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,gene with protein product,"['PCD', 'Pterin-4a-carbinolamine dehydratase (dimerization cofactor of hepatic nuclear factor 1-alpha)', 'dimerizing cofactor for HNF1', 'pterin-4-alpha carbinolamine dehydratase']","[{'GeneLocus': '10q22.1', 'LocusKey': 1}]",9760199[PMID]
1587,Monosomy 13q14 syndrome,Malformation syndrome,RB1,RB transcriptional corepressor 1,gene with protein product,"['PPP1R130', 'RB', 'prepro-retinoblastoma-associated protein', 'protein phosphatase 1, regulatory subunit 130']","[{'GeneLocus': '13q14.2', 'LocusKey': 1}]",21505449[PMID]
1596,Distal deletion 15q syndrome,Malformation syndrome,MCTP2,multiple C2 and transmembrane domain containing 2,gene with protein product,"['FLJ11175', 'FLJ33303']","[{'GeneLocus': '15q26.2', 'LocusKey': 1}]",23773997[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,RERE,arginine-glutamic acid dipeptide repeats,gene with protein product,"['ARG', 'ARP', 'ATN2', 'DNB1', 'KIAA0458', 'atrophin 2']","[{'GeneLocus': '1p36.23', 'LocusKey': 1}]",27087320[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,PRKCZ,protein kinase C zeta,gene with protein product,['PKC2'],"[{'GeneLocus': '1p36.33', 'LocusKey': 1}]",24454898[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,UBE4B,ubiquitination factor E4B,gene with protein product,"['E4', 'KIAA0684', 'UBOX3', 'UFD2']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",24454898[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,MMP23B,matrix metallopeptidase 23B,gene with protein product,"['MIFR', 'MIFR-1', 'femalysin', 'matrix metalloproteinase 22', 'matrix metalloproteinase in the female reproductive tract']","[{'GeneLocus': '1p36.33', 'LocusKey': 1}]",26345236[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,GABRD,gamma-aminobutyric acid type A receptor subunit delta,gene with protein product,"['GABA(A) receptor, delta', 'GABAARdelta']","[{'GeneLocus': '1p36.33', 'LocusKey': 1}]",22766398[PMID]
1606,1p36 deletion syndrome,Malformation syndrome,SKI,SKI proto-oncogene,gene with protein product,['Sloan-Kettering Institute proto-oncogene'],"[{'GeneLocus': '1p36.33-p36.32', 'LocusKey': 1}]",22766398[PMID]_12376748[PMID]
